society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ad9,Gisu,xd126,masa1299,Masaaba,Atlantic-Congo,MonthlyMeanPrecipitation,96256.42551,,,,
SCCS104,Māori,xd891,maor1246,Maori,Austronesian,MonthlyMeanPrecipitation,96335.55263,,,,
Nj9,Tlaxcalans,xd1308,cent2132,Tlaxcala-Puebla-Central Nahuatl,Uto-Aztecan,MonthlyMeanPrecipitation,96536.46481,,,,
Ab11,Xhosa,xd12,xesi1238,Xesibe,Atlantic-Congo,MonthlyMeanPrecipitation,96541.61735,,,,
Ng9,Catawba,xd1258,cata1286,Catawba,Siouan,MonthlyMeanPrecipitation,96559.1611,,,,
Se1,Sirionó,xd1362,siri1273,Sirionó,Tupian,MonthlyMeanPrecipitation,96769.30249,,,,
B43,Sirionó,xd1362,siri1273,Sirionó,Tupian,MonthlyMeanPrecipitation,96784.34406,,,,
Sa10,Lacandon,xd1310,laca1243,Lacandon,Mayan,MonthlyMeanPrecipitation,96823.55391,,,,
Sa2,Tzeltal,xd1318,tzel1254,Tzeltal,Mayan,MonthlyMeanPrecipitation,96823.55391,,,,
B107,Warunggu,xd955,waru1264,Warrongo,Pama-Nyungan,MonthlyMeanPrecipitation,97016.85116,,,,
Se11,Chácobo,xd1364,chac1251,Chácobo,Pano-Tacanan,MonthlyMeanPrecipitation,97157.61484,,,,
SCCS183,Abipón,xd1390,abip1241,Abipon,Guaicuruan,MonthlyMeanPrecipitation,97160.2799,,,,
Ng13,Abenaki,xd1248,peno1243,Penobscot,Algic,MonthlyMeanPrecipitation,97164.04533,,,,
Ei16,Sema,xd703,sumi1235,Sumi Naga,Sino-Tibetan,MonthlyMeanPrecipitation,97213.12026,,,,
Sh2,Terena,xd1389,tere1279,Terena-Kinikinao-Chane,Arawakan,MonthlyMeanPrecipitation,97221.60822,,,,
Aj21,Jie,xd397,jiee1239,Jie,Nilotic,MonthlyMeanPrecipitation,97487.20431,,,,
Aj22,Labwor,xd398,labw1238,Labwor,Nilotic,MonthlyMeanPrecipitation,97487.20431,,,,
Aj18,Bodi,xd393,meen1242,Me'en,Surmic,MonthlyMeanPrecipitation,97487.99851,,,,
Ai38,Korongo,xd368,kron1241,Krongo,Kadugli-Krongo,MonthlyMeanPrecipitation,97561.55477,,,,
Ef5,Bhil,xd667,bhil1251,Bhili,Indo-European,MonthlyMeanPrecipitation,97684.16485,,,,
SCCS182,Lengua,xd1396,leng1262,Lengua,Lengua-Mascoy,MonthlyMeanPrecipitation,97963.01778,,,,
WNAI58,Nisenan (Mountain),xd1111,nise1244,Nisenan,Maiduan,MonthlyMeanPrecipitation,98175.20988,,,,
Sc18,Ndyuka,xd1344,ndyu1242,Aukan,Indo-European,MonthlyMeanPrecipitation,98274.39274,,,,
Ad26,Turu,xd94,nyat1246,Nyaturu,Atlantic-Congo,MonthlyMeanPrecipitation,98278.9018,,,,
Ag10,Konkomba,xd245,konk1269,Konkomba,Atlantic-Congo,MonthlyMeanPrecipitation,98381.4028,,,,
Ac33,Lala,xd59,lala1264,Lala-Bisa,Atlantic-Congo,MonthlyMeanPrecipitation,98433.33314,,,,
Sc6,Saramaccan ,xd1349,sara1340,Saramaccan,Indo-European,MonthlyMeanPrecipitation,98435.44993,,,,
Ng12,Choctaw,xd1247,choc1276,Choctaw,Muskogean,MonthlyMeanPrecipitation,98439.45221,,,,
Aj1,Teso,xd384,teso1249,Teso,Nilotic,MonthlyMeanPrecipitation,98681.60794,,,,
Aj30,Karamojong,xd407,nucl1430,Nuclear Karamojong,Nilotic,MonthlyMeanPrecipitation,98681.60794,,,,
B321,Sinkaitk,xd1147,sout2963,Southern Okanogan,Salishan,MonthlyMeanPrecipitation,98740.72171,,,,
Nd15,Sinkaitk,xd1147,sout2963,Southern Okanogan,Salishan,MonthlyMeanPrecipitation,98740.72171,,,,
SCCS165,Saramaccan ,xd1349,sara1340,Saramaccan,Indo-European,MonthlyMeanPrecipitation,98884.88474,,,,
Ag40,Isala,xd278,tumu1242,Tumulung Sisaala,Atlantic-Congo,MonthlyMeanPrecipitation,98911.78363,,,,
Cg2,Icelanders,xd542,icel1247,Icelandic,Indo-European,MonthlyMeanPrecipitation,98968.54694,,,,
Sa15,Jakaltek,xd1315,popt1235,Popti',Mayan,MonthlyMeanPrecipitation,98994.52412,,,,
Ab14,Lovedu,xd15,lobe1242,Lobedu,Atlantic-Congo,MonthlyMeanPrecipitation,99002.3787,,,,
WNAI32,Tututni,xd1092,tutu1242,Tututni,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,99052.74452,,,,
WNAI33,Chetco,xd1422,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,99052.74452,,,,
B275,Coos,xd1081,coos1249,Hanis,Coosan,MonthlyMeanPrecipitation,99059.00977,,,,
WNAI31,Coos,xd1081,coos1249,Hanis,Coosan,MonthlyMeanPrecipitation,99059.00977,,,,
Sh4,Kadiwéu,xd1391,kadi1248,Kadiwéu,Guaicuruan,MonthlyMeanPrecipitation,99102.78802,,,,
Cb26,Zazzagawa Hausa,xd476,araw1280,Arawa,Afro-Asiatic,MonthlyMeanPrecipitation,99285.16641,,,,
B329,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,MonthlyMeanPrecipitation,99384.76652,,,,
Na41,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,MonthlyMeanPrecipitation,99384.76652,,,,
SCCS126,Mi'kmaq,xd1058,mikm1235,Mi'kmaq,Algic,MonthlyMeanPrecipitation,99384.76652,,,,
Sg3,Ona,xd1385,onaa1245,Selk'nam,Chonan,MonthlyMeanPrecipitation,99406.99295,,,,
Ad50,Kaguru,xd121,kagu1239,Kagulu,Atlantic-Congo,MonthlyMeanPrecipitation,99675.63239,,,,
Ag34,Dorosie,xd271,dogo1295,Dogosé,Atlantic-Congo,MonthlyMeanPrecipitation,99722.86983,,,,
Ei13,Angami,xd700,anga1288,Angami Naga,Sino-Tibetan,MonthlyMeanPrecipitation,99740.42821,,,,
Ei15,Rengma,xd702,sout2732,Southern Rengma Naga,Sino-Tibetan,MonthlyMeanPrecipitation,99740.42821,,,,
Ei17,Karbi,xd704,karb1241,Hills Karbi,Sino-Tibetan,MonthlyMeanPrecipitation,99740.42821,,,,
SCCS173,Sirionó,xd1362,siri1273,Sirionó,Tupian,MonthlyMeanPrecipitation,99838.91166,,,,
Nd20,Nez Perce,xd1153,nezp1238,Nez Perce,Sahaptian,MonthlyMeanPrecipitation,99932.22228,,,,
Ca31,Beta Israel,xd439,qima1242,Qimant,Afro-Asiatic,MonthlyMeanPrecipitation,99942.14029,,,,
B167,Lassik,xd1098,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,100117.2599,,,,
Nb38,Mattole-Bear River,xd1099,matt1238,Mattole,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,100117.2599,,,,
B183,Atsugewi,xd1135,atsu1245,Atsugewi,Palaihnihan,MonthlyMeanPrecipitation,100264.0021,,,,
Nf13,Shawnee,xd1233,shaw1249,Shawnee,Algic,MonthlyMeanPrecipitation,100289.0258,,,,
Nd7,Kutenai,xd1205,kute1249,Kutenai,,MonthlyMeanPrecipitation,100370.9197,,,,
B319,Wishram,xd1150,wasc1239,Wasco-Wishram,Chinookan,MonthlyMeanPrecipitation,100442.6387,,,,
WNAI109,Klikitat,xd1435,klik1240,Klikitat,Sahaptian,MonthlyMeanPrecipitation,100442.6387,,,,
B153,Nomlaki,xd1107,noml1242,Nomlaki,Wintuan,MonthlyMeanPrecipitation,100528.5107,,,,
Nb37,Lassik,xd1098,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,100528.5107,,,,
Nc7,Yuki,xd1138,yuki1243,Yuki,Yuki-Wappo,MonthlyMeanPrecipitation,100528.5107,,,,
B187,Achumawi,xd1108,achu1247,Achumawi,Palaihnihan,MonthlyMeanPrecipitation,100635.0433,,,,
WNAI52,Achumawi (West),xd1108,achu1247,Achumawi,Palaihnihan,MonthlyMeanPrecipitation,100635.0433,,,,
Ad22,Sukuma,xd90,suku1261,Sukuma,Atlantic-Congo,MonthlyMeanPrecipitation,100790.1009,,,,
B15,Chenchu,xd672,chen1255,Chenchu,Dravidian,MonthlyMeanPrecipitation,100921.999,,,,
Id8,Tasmanians (northwestern),xd783,port1278,Port Sorell,Western Tasmanian,MonthlyMeanPrecipitation,101016.089,,,,
Ng3,Muscogee,xd1252,cree1270,Creek,Muskogean,MonthlyMeanPrecipitation,101136.5121,,,,
B42,Guató,xd1403,guat1253,Guató,,MonthlyMeanPrecipitation,101140.4169,,,,
B181,Tututni,xd1092,tutu1242,Tututni,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,101198.5383,,,,
Sa7,Garifuna,xd1323,gari1256,Garifuna,Arawakan,MonthlyMeanPrecipitation,101251.9499,,,,
B186,Yurok,xd1101,yuro1248,Yurok,Algic,MonthlyMeanPrecipitation,101372.2761,,,,
SCCS134,Yurok,xd1101,yuro1248,Yurok,Algic,MonthlyMeanPrecipitation,101372.2761,,,,
WNAI36,Yurok,xd1101,yuro1248,Yurok,Algic,MonthlyMeanPrecipitation,101372.2761,,,,
Ab7,Nyaneka,xd30,nyan1305,Nyaneka,Atlantic-Congo,MonthlyMeanPrecipitation,101434.1036,,,,
B67,Hukwe,xd929,kxoe1243,Kxoe,Khoe-Kwadi,MonthlyMeanPrecipitation,101459.3214,,,,
B250,Kutenai,xd1205,kute1249,Kutenai,,MonthlyMeanPrecipitation,101480.5447,,,,
SCCS71,Burmese,xd709,nucl1310,Burmese,Sino-Tibetan,MonthlyMeanPrecipitation,101497.2786,,,,
B188,Modoc,xd1140,klam1254,Klamath-Modoc,,MonthlyMeanPrecipitation,101674.3494,,,,
B348,Chilcotin,xd1206,chil1280,Chilcotin,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,101710.882,,,,
Aj19,Didinga,xd394,didi1258,Didinga,Surmic,MonthlyMeanPrecipitation,101808.4703,,,,
B333,Shuswap,xd1143,shus1248,Shuswap,Salishan,MonthlyMeanPrecipitation,101842.8407,,,,
Nc12,Maidu,xd1110,nort2952,Northeast Maidu,Maiduan,MonthlyMeanPrecipitation,102101.7774,,,,
Ab4,Tsonga,xd27,tson1249,Tsonga,Atlantic-Congo,MonthlyMeanPrecipitation,102638.1489,,,,
Nj7,Mixe,xd1306,isth1238,Isthmus Mixe,Mixe-Zoque,MonthlyMeanPrecipitation,102701.3922,,,,
Ng4,Penobscot,xd1253,peno1243,Penobscot,Algic,MonthlyMeanPrecipitation,102955.6823,,,,
B105,Mamu,xd954,mamu1253,Mamu,Pama-Nyungan,MonthlyMeanPrecipitation,103009.9353,,,,
Ni9,Tepehuán,xd1294,nort2959,Northern Tepehuan,Uto-Aztecan,MonthlyMeanPrecipitation,103064.5992,,,,
SCCS31,Shilluk,xd380,shil1265,Shilluk,Nilotic,MonthlyMeanPrecipitation,103070.9455,,,,
WNAI110,Wishram,xd1150,wasc1239,Wasco-Wishram,Chinookan,MonthlyMeanPrecipitation,103126.4931,,,,
